Time,Date,Colony,Core,Temp,CO2,Pic_0,AOI,File ,variable.fragment,YII
0,2017-09-01,20,20-34,26,HCO2,1,22,1.csv,Y.II.22,
0,2017-09-01,20,20-52,26,HCO2,2,14,2.csv,Y.II.14,
0,2017-09-01,20,20-61,26,HCO2,2,23,2.csv,Y.II.23,
0,2017-09-01,20,20-71,26,HCO2,3,10,3.csv,Y.II.10,
0,2017-09-01,20,20-82,26,HCO2,3,20,3.csv,Y.II.20,
0,2017-09-01,20,20-91,26,HCO2,4,5,4.csv,Y.II.5,
0,2017-09-01,20,20-101,26,HCO2,4,14,4.csv,Y.II.14,
0,2017-09-01,22,22-20,26,HCO2,5,14,5.csv,Y.II.14,
0,2017-09-01,22,22-47,26,HCO2,6,16,6.csv,Y.II.16,
0,2017-09-01,22,22-55,26,HCO2,7,6,7.csv,Y.II.6,
0,2017-09-01,22,22-65,26,HCO2,7,14,7.csv,Y.II.14,
0,2017-09-01,23,23-15,26,HCO2,9,12,9.csv,Y.II.12,
0,2017-09-01,23,23-25,26,HCO2,10,1,10.csv,Y.II.1,
0,2017-09-01,23,23-44,26,HCO2,10,17,10.csv,Y.II.17,
0,2017-09-01,23,23-69,26,HCO2,11,20,11.csv,Y.II.20,
0,2017-09-01,24,24-30,26,HCO2,14,9,14.csv,Y.II.9,
0,2017-09-01,24,24-38,26,HCO2,14,17,14.csv,Y.II.17,
0,2017-09-01,24,24-46,26,HCO2,15,4,15.csv,Y.II.4,
0,2017-09-01,27,27-7,26,HCO2,16,5,16.csv,Y.II.5,
0,2017-09-01,27,27-23,26,HCO2,16,16,16.csv,Y.II.16,
0,2017-09-01,27,27-65,26,HCO2,17,9,17.csv,Y.II.9,
0,2017-09-01,27,27-96,26,HCO2,18,7,18.csv,Y.II.7,
0,2017-09-01,30,30-36,26,HCO2,21,11,21.csv,Y.II.11,
0,2017-09-01,30,30-45,26,HCO2,21,19,21.csv,Y.II.19,
0,2017-09-01,30,30-59,26,HCO2,22,1,22.csv,Y.II.1,
0,2017-09-01,20,20-47,26,LCO2,2,9,2.csv,Y.II.9,
0,2017-09-01,20,20-57,26,LCO2,2,19,2.csv,Y.II.19,
0,2017-09-01,20,20-66,26,LCO2,3,5,3.csv,Y.II.5,
0,2017-09-01,20,20-76,26,LCO2,3,14,3.csv,Y.II.14,
